p_id,Gender,age,vintage (days),has_passed_logical_ability,has_passed_reading_comprehension,has_passed_general_awareness,has_passed_attention_to_detail,has_passed_pattern_recog,Life Time Earnings in Rs.,qualifiers_rejects,qualifiers_approved,qualifiers_re_attempts,voice_rejects,voice_approved,voice_re_attempts,sd_rejects,sd_approved,sd_re_attempts,ts_rejects,ts_approved,ts_re_attempts,other_data_rejects,other_data_approved,other_data_re_attempts,lives,Q Score Qualifiers,Q Score voice,Q Score Sd,Q Score ts,Q score other data,P Score Qualifiers,P Score voice,P Score Sd,P Score ts,P score other data,Q_logical_ability,Q_reading_comprehension,Q_general_awareness,Q_attention_to_detail,Q_pattern_recog,Average Q Score
53166,1,26,114,FALSE,FALSE,TRUE,TRUE,TRUE,11970.16,12,42,43,0,0,5,1,207,51,4,1934,103,24,3193,389,5,0.175257732,-1,1.393822394,1.840764331,1.649750416,17.5257732,0,84.84555985,96.01910828,91.2437604,0,0,100,100,100,58.96342017
53249,2,20,114,FALSE,FALSE,FALSE,FALSE,TRUE,3897.63,14,24,42,0,0,1,8,640,99,2,438,26,27,1319,212,5,-0.275,-1,1.55957162,1.815450644,1.522464698,0,0,88.9892905,95.38626609,88.06161746,0,0,0,0,100,37.2437174
53201,1,18,114,TRUE,TRUE,FALSE,TRUE,TRUE,2840.4,6,20,16,0,3,9,0,0,0,2,582,28,8,674,78,5,0.285714286,-0.25,#DIV/0!,1.849673203,1.65,28.57142857,0,#DIV/0!,96.24183007,91.25,100,100,0,100,100,#DIV/0!
53233,1,22,114,FALSE,FALSE,FALSE,FALSE,TRUE,1751.69,14,17,38,2,1,4,0,66,21,0,82,7,16,518,145,5,-0.463768116,-0.857142857,1.275862069,1.764044944,1.265095729,0,0,81.89655172,94.1011236,81.62739323,0,0,0,0,100,35.76250685
53220,1,27,114,FALSE,FALSE,FALSE,FALSE,FALSE,160.5,13,12,31,1,0,0,1,14,2,0,0,0,21,64,37,1,-0.589285714,-2,1.411764706,#DIV/0!,0.401639344,0,0,85.29411765,#DIV/0!,40.16393443,0,0,0,0,0,#DIV/0!
53345,1,21,113,FALSE,FALSE,FALSE,FALSE,FALSE,19719.35,24,28,75,0,0,5,2,4372,277,5,1751,79,34,6846,523,5,-0.527559055,-1,1.819608686,1.859945504,1.769687964,0,0,95.49021716,96.4986376,94.24219911,0,0,0,0,0,28.62310539
53330,1,31,113,FALSE,FALSE,TRUE,TRUE,TRUE,3162.94,5,43,46,0,0,0,0,142,13,0,238,5,9,1039,234,5,0.319148936,#DIV/0!,1.748387097,1.938271605,1.424336973,31.91489362,#DIV/0!,93.70967742,98.45679012,85.60842434,0,0,100,100,100,#DIV/0!
53401,2,28,113,TRUE,TRUE,TRUE,TRUE,TRUE,1150.97,8,104,66,0,2,5,0,202,33,1,45,1,11,460,154,5,0.707865169,-0.142857143,1.578723404,1.85106383,1.1904,60.39325843,0,89.46808511,96.27659574,79.76,100,100,100,100,100,82.58979393
53386,1,28,113,FALSE,FALSE,FALSE,FALSE,TRUE,998.9,16,9,37,0,0,0,0,357,95,0,0,0,17,395,148,5,-0.822580645,#DIV/0!,1.369469027,#DIV/0!,1.085714286,0,#DIV/0!,84.23672566,#DIV/0!,77.14285714,0,0,0,0,100,#DIV/0!
53315,1,22,113,FALSE,FALSE,FALSE,FALSE,TRUE,452.46,9,7,20,0,0,4,1,180,112,0,0,0,11,198,152,5,-0.666666667,-1,0.839590444,#DIV/0!,0.614958449,0,0,66.97952218,#DIV/0!,55.74792244,0,0,0,0,100,#DIV/0!
